family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,macro_precision,macro_recall,macro_roc_auc_ovr
classical,logistic_regression,0.5739130434782609,0.5322614691809737,0.5316204540888085,0.577736020476802,"[[12, 5, 4, 1], [5, 23, 4, 6], [5, 0, 26, 7], [1, 4, 7, 5]]",0.5344483416587599,0.5322614691809737,0.7822110477158914
classical,svm_rbf,0.4782608695652174,0.511539544047284,0.47958168627731035,0.48682150743608166,"[[16, 1, 3, 2], [8, 13, 5, 12], [5, 1, 17, 15], [0, 4, 4, 9]]",0.5147459165154266,0.511539544047284,0.6981437659181591
classical,xgboost,0.5652173913043478,0.5094286518435125,0.5030538302277433,0.5484900531100909,"[[12, 9, 1, 0], [8, 21, 8, 1], [3, 2, 29, 4], [1, 5, 8, 3]]",0.5182505875440658,0.5094286518435125,0.7808398710618683
jigsaw,jigsaw_bin_256_frozen,0.391304347826087,0.3457993245144948,0.3485015353549836,0.3798905225142106,"[[7, 12, 3, 0], [2, 19, 14, 3], [4, 13, 17, 4], [2, 5, 8, 2]]",0.37035147392290246,0.3457993245144948,0.6110828418417839
jigsaw,jigsaw_bin_512_frozen,0.45217391304347826,0.3803827751196172,0.361279355465402,0.4173525487984538,"[[8, 12, 2, 0], [5, 20, 13, 0], [2, 10, 24, 2], [0, 8, 9, 0]]",0.35833333333333334,0.3803827751196172,0.6674013948842387
jigsaw,jigsaw_bin_1024_frozen,0.40869565217391307,0.36229946524064166,0.36588595092422,0.3993519595764544,"[[6, 12, 4, 0], [5, 18, 11, 4], [3, 11, 20, 4], [1, 7, 6, 3]]",0.3838830376940133,0.36229946524064166,0.6653502271413273
jigsaw,jigsaw_bin_2048_frozen,0.4608695652173913,0.40321559245707855,0.40658863920099875,0.4463509743255713,"[[8, 12, 2, 0], [3, 21, 10, 4], [2, 12, 22, 2], [1, 6, 8, 2]]",0.43925070028011204,0.40321559245707855,0.6443432752017307
jigsaw,jigsaw_multibin_frozen,0.5217391304347826,0.4492682240360259,0.44213769518647567,0.4996611063419123,"[[8, 7, 6, 1], [6, 24, 6, 2], [3, 7, 26, 2], [2, 5, 8, 2]]",0.4575309608703254,0.4492682240360259,0.6939640650209769
jigsaw,jigsaw_bin_256_unfreeze_last_1,0.4,0.3619476498733465,0.3655170682730924,0.3976834293696525,"[[9, 11, 1, 1], [4, 18, 11, 5], [3, 11, 17, 7], [2, 5, 8, 2]]",0.3731981981981982,0.3619476498733465,0.6287336048789017
jigsaw,jigsaw_bin_256_unfreeze_last_2,0.41739130434782606,0.3942443005910498,0.39759916711136223,0.4273204214667629,"[[13, 7, 1, 1], [6, 15, 8, 9], [2, 6, 18, 12], [2, 4, 9, 2]]",0.40432518115942023,0.3942443005910498,0.6311095745598749
jigsaw,jigsaw_bin_256_unfreeze_last_3,0.3826086956521739,0.36025893611032933,0.37136145180447133,0.3979248824179318,"[[8, 9, 2, 3], [2, 16, 8, 12], [3, 8, 16, 11], [1, 3, 9, 4]]",0.40158730158730155,0.36025893611032933,0.6420301567146384
jigsaw,jigsaw_bin_512_unfreeze_last_1,0.4608695652173913,0.3965311004784689,0.38203012912482065,0.4353789532780238,"[[10, 9, 2, 1], [6, 19, 12, 1], [1, 9, 24, 4], [1, 7, 9, 0]]",0.37450300881151943,0.3965311004784689,0.6918244686360422
jigsaw,jigsaw_bin_512_unfreeze_last_2,0.4608695652173913,0.3998733464677737,0.4031965502851579,0.4467591670849788,"[[9, 12, 0, 1], [3, 21, 11, 3], [1, 12, 22, 3], [0, 8, 8, 1]]",0.4375298683139226,0.3998733464677737,0.6993181050781171
jigsaw,jigsaw_bin_512_unfreeze_last_3,0.43478260869565216,0.39639037433155083,0.40936162312358665,0.4447808346354596,"[[9, 8, 0, 5], [2, 21, 11, 4], [2, 7, 17, 12], [1, 5, 8, 3]]",0.43806862175764616,0.39639037433155083,0.6766832678433312
jigsaw,jigsaw_bin_1024_unfreeze_last_1,0.4,0.36384745285674075,0.36669628616997035,0.3964721289389482,"[[6, 9, 5, 2], [6, 18, 9, 5], [3, 12, 18, 5], [1, 7, 5, 4]]",0.37569770857814333,0.36384745285674075,0.6609361216318601
jigsaw,jigsaw_bin_1024_unfreeze_last_2,0.40869565217391307,0.37186884323107233,0.37858485222943056,0.4128764780414859,"[[8, 9, 3, 2], [5, 17, 8, 8], [2, 11, 19, 6], [2, 8, 4, 3]]",0.39127106983144133,0.37186884323107233,0.6579200363584236
jigsaw,jigsaw_bin_1024_unfreeze_last_3,0.41739130434782606,0.3832324795947087,0.3873028751077532,0.42121949014844035,"[[9, 7, 4, 2], [5, 18, 8, 7], [3, 9, 18, 8], [2, 6, 6, 3]]",0.3934210526315789,0.3832324795947087,0.6605193088193759
jigsaw,jigsaw_bin_2048_unfreeze_last_1,0.4608695652173913,0.40800028145229383,0.40679970594629233,0.4469807484614538,"[[9, 10, 3, 0], [4, 19, 11, 4], [4, 8, 23, 3], [1, 6, 8, 2]]",0.4187984496124031,0.40800028145229383,0.6526457781754467
jigsaw,jigsaw_bin_2048_unfreeze_last_2,0.4434782608695652,0.39339994370954123,0.39625072226698244,0.43457439765675887,"[[7, 11, 3, 1], [4, 19, 10, 5], [4, 8, 22, 4], [0, 6, 8, 3]]",0.41022049655770587,0.39339994370954123,0.6579060625639358
jigsaw,jigsaw_bin_2048_unfreeze_last_3,0.40869565217391307,0.367084154235857,0.3670158296345005,0.4044832414879195,"[[7, 10, 4, 1], [8, 16, 8, 6], [4, 8, 21, 5], [1, 5, 8, 3]]",0.3681128830519074,0.367084154235857,0.6353196935511355
jigsaw,jigsaw_multibin_unfreeze_last_1,0.4956521739130435,0.4362158739093724,0.4349347205222358,0.48223866035158675,"[[6, 8, 7, 1], [5, 21, 8, 4], [3, 5, 26, 4], [2, 4, 7, 4]]",0.4442476383265857,0.4362158739093724,0.6903589572887343
jigsaw,jigsaw_multibin_unfreeze_last_2,0.45217391304347826,0.3904095130875317,0.3879860942679279,0.44085951203394175,"[[5, 11, 5, 1], [7, 22, 5, 4], [3, 7, 22, 6], [1, 6, 7, 3]]",0.39228728698837395,0.3904095130875317,0.6936961696238921
jigsaw,jigsaw_multibin_unfreeze_last_3,0.46956521739130436,0.41982127779341405,0.4173691548691548,0.46365209930427326,"[[5, 9, 5, 3], [4, 22, 6, 6], [4, 6, 22, 6], [1, 5, 6, 5]]",0.42376373626373626,0.41982127779341405,0.6788083500107869
