name,bmse_id,formula,gissmo_name,ph,temperature_k,solvent,roi_rmsd,peak_ppm,frac_area_in_water_window
l-homoserine,bmse000040,C4H9NO3,L-Homoserine,7.4,298.0,,0.02443,3.7703649167245237,0.0
2-aminobutyrate,bmse000390,C4H9NO2,DL-2-Aminobutyric-acid,7.4,298.0,,0.00699,0.966449481578687,0.0
trans-4-hydroxy-l-proline,bmse000123,C5H9NO3,Trans-4-hydroxy-L-proline,7.4,298.0,,0.02756,3.364142335070305,0.0
hypotaurine,bmse000452,C2H7NO2S,Hypotaurine,7.4,298.0,,0.02063,3.342261064613835,0.0
homoarginine,bmse000745,C7H16N4O2,Homoarginine,7.4,298.0,,0.01195,3.1973319803770472,0.0
guanidineacetic-acid,bmse000384,C3H7N3O2,Guanidineacetic-acid,7.4,298.0,,0.00229,3.781351328669195,0.0
n-acetyl-l-aspartic-acid,bmse000423,C6H9NO5,N-acetyl-L-aspartic-acid,7.4,298.0,,0.01535,2.005764051544583,0.0
ketoleucine,bmse000383,C6H10O3,4-Methyl-2-oxovaleric-acid,7.4,298.0,,0.01492,0.9310183030571224,0.0
2-hydroxy-3-methylbutyric-acid,bmse000570,C5H10O3,2-Hydroxy-3-methylbutyric-acid,7.4,298.0,,0.00678,0.959399867247523,0.0
propionate,bmse000179,C3H6O2,Propionic-acid,7.4,298.0,,0.01507,1.0430797048927687,0.0
butyrate,bmse000402,C4H8O2,Butyric-acid,7.4,298.0,,0.00358,0.8814878958732297,0.0
isobutyrate,bmse000439,C4H8O2,Isobutyric-acid,7.4,298.0,,0.01145,1.0433543651913855,0.0
isovalerate,bmse000373,C5H10O2,Isovaleric-acid,7.4,298.0,,0.00327,0.9027282922995941,0.0
valerate,bmse000345,C5H10O2,Valeric-acid,7.4,298.0,,0.00366,0.8760862433337664,0.0
phenylacetylglycine,bmse000658,C10H11NO3,Phenylacetylglycine,7.4,298.0,,0.016,3.7341097573071087,0.0
3-hydroxyphenylacetic-acid,bmse000339,C8H8O3,3-Hydroxyphenylacetic-acid,7.4,298.0,,0.01213,3.4686048019775537,0.0
4-hydroxyphenylacetic-acid,bmse000455,C8H8O3,4-Hydroxyphenylacetic-acid,7.4,298.0,,0.01305,3.437018867636624,0.0
indole-3-acetic-acid,bmse000177,C10H9NO2,Indole-3-acetic-acid,7.4,298.0,,0.01586,3.6523525417521805,0.0
phenylacetate,bmse000220,C8H8O2,Phenylacetic-acid,7.4,298.0,,0.01362,3.5227128808050603,0.0
benzoate,bmse000300,C7H6O2,Benzoate,7.4,298.0,,0.02013,7.8580425876051905,0.0
kynurenic-acid,bmse000410,C10H7NO3,Kynurenic-acid,7.4,298.0,,0.0109,6.675996215791441,0.0
5-hydroxyindoleacetate,bmse000364,C10H9NO3,5-Hydroxyindoleacetate,7.4,298.0,,0.01372,3.581123970977562,0.0
pantothenate,bmse000287,C9H17NO5,Pantothenate,7.4,298.0,,0.01005,0.8826780905005691,0.0
scyllo-inositol,bmse000113,C6H12O6,Scyllo-inositol,7.4,298.0,,0.00335,3.3330141678937366,0.0
L-ascorbate,bmse000182,C6H8O6,L-ascorbate,7.4,298.0,,0.01232,3.730722280290835,0.0
