row_index,n_peaks_suppressed,peak_indices,ratios
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,3,73226;73796;73695,0.915;0.897;0.826
14,0,,
15,3,73229;73799;73698,0.986;0.954;0.899
16,0,,
17,0,,
18,0,,
19,0,,
20,0,,
21,3,73223;73792;73691,0.995;0.899;0.892
22,0,,
23,0,,
24,0,,
25,0,,
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,3,73218;73786;73686,1.027;0.939;0.916
35,3,73223;73792;73691,1.045;0.956;0.938
36,0,,
37,0,,
38,0,,
39,0,,
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,0,,
46,0,,
47,0,,
48,0,,
49,0,,
50,0,,
51,0,,
52,0,,
53,3,73226;73796;73695,0.938;0.914;0.856
54,3,73217;73786;73685,0.572;0.542;0.526
55,0,,
56,0,,
57,0,,
58,0,,
59,1,72100,0.568
60,0,,
61,0,,
62,0,,
63,0,,
64,0,,
65,0,,
66,0,,
67,0,,
68,0,,
69,3,73218;73786;73685,0.724;0.685;0.658
70,2,73224;73793,0.999;0.917
71,0,,
72,0,,
73,0,,
74,0,,
75,0,,
76,3,73238;73809;73708,0.889;0.888;0.811
77,0,,
78,3,73225;73796;73695,0.741;0.739;0.681
79,2,73220;73788,0.968;0.890
80,0,,
81,0,,
82,0,,
83,0,,
84,0,,
85,0,,
86,0,,
87,3,73221;73791;73690,1.012;0.936;0.912
88,0,,
89,3,73220;73789;73688,0.993;0.931;0.896
90,0,,
91,0,,
92,0,,
93,0,,
94,0,,
95,3,73214;73784;73682,0.795;0.744;0.719
96,0,,
97,0,,
98,0,,
99,0,,
100,3,73222;73792;73690,1.003;0.992;0.910
101,0,,
102,0,,
103,0,,
104,0,,
105,3,73239;73808;73707,0.799;0.735;0.724
106,3,73219;73788;73686,0.944;0.878;0.841
107,2,73217;73786,0.883;0.849
108,3,73226;73797;73695,1.003;0.986;0.903
109,0,,
110,3,73240;73811;73710,0.807;0.743;0.726
111,0,,
112,0,,
113,0,,
114,3,73226;73795;73693,0.648;0.607;0.588
115,0,,
116,3,73223;73792;73691,0.760;0.704;0.686
117,3,73218;73787;73685,0.861;0.796;0.772
118,3,73211;73780;73679,0.653;0.613;0.584
119,0,,
120,0,,
121,0,,
122,3,73234;73803;73701,0.951;0.877;0.850
123,0,,
124,3,73228;73798;73696,0.582;0.529;0.513
125,0,,
126,3,73247;73818;73717,0.573;0.568;0.529
127,3,73215;73783;73316,1.066;0.983;0.951
128,3,73221;73790;73689,0.827;0.747;0.735
129,0,,
130,3,73221;73790;73688,0.814;0.758;0.732
131,0,,
132,0,,
133,0,,
134,0,,
135,3,73217;73786;73684,0.872;0.814;0.787
136,3,73220;73789;73688,0.646;0.594;0.585
137,3,73216;73784;73684,1.050;0.981;0.945
138,0,,
139,3,73238;73809;73708,0.786;0.772;0.723
140,0,,
141,0,,
