label_column,rank,approach,model_display,weighted_f1,accuracy,macro_f1
cancer_status,1.0,classical,logistic_regression,0.8521066633261579,0.8521739130434782,0.8517704147395557
cancer_status,2.0,classical,xgboost,0.8261659122012843,0.8260869565217391,0.8259685230024213
cancer_status,3.0,classical,svm_rbf,0.7479024512272594,0.7478260869565218,0.747520629873571
cancer_status,4.0,jigsaw,bin_512_frozen,0.7129129346919535,0.7130434782608696,0.7122602168473728
cancer_status,4.0,jigsaw,bin_512_unfreeze_last_1,0.7129129346919535,0.7130434782608696,0.7122602168473728
cancer_status,4.0,masking,unfreeze_last_3,0.7129129346919535,0.7130434782608696,0.7122602168473728
cancer_status,7.0,jigsaw,multibin_frozen,0.7044372550566822,0.7043478260869566,0.7043254688445251
cancer_status,8.0,jigsaw,multibin_unfreeze_last_2,0.704213682632368,0.7043478260869566,0.7043254688445251
cancer_status,9.0,jigsaw,multibin_unfreeze_last_1,0.6957902940973353,0.6956521739130435,0.6955600937901822
cancer_status,10.0,jigsaw,bin_256_unfreeze_last_2,0.687098641962312,0.6869565217391305,0.6867433414043584
cancer_status,11.0,jigsaw,bin_256_unfreeze_last_1,0.6860991293762736,0.6869565217391305,0.6850273889227023
cancer_status,12.0,jigsaw,bin_1024_unfreeze_last_3,0.6782608695652174,0.6782608695652174,0.6782608695652174
cancer_status,13.0,jigsaw,bin_2048_unfreeze_last_2,0.677920173110631,0.6782608695652174,0.6781635277210498
cancer_status,13.0,jigsaw,bin_512_unfreeze_last_3,0.677920173110631,0.6782608695652174,0.6781635277210498
cancer_status,15.0,jigsaw,bin_1024_unfreeze_last_2,0.6776741558557398,0.6782608695652174,0.676696299673277
cancer_status,16.0,jigsaw,bin_2048_unfreeze_last_1,0.669415292353823,0.6695652173913044,0.6695402298850575
cancer_status,16.0,jigsaw,multibin_unfreeze_last_3,0.669415292353823,0.6695652173913044,0.6695402298850575
cancer_status,18.0,jigsaw,bin_256_unfreeze_last_3,0.6689651542267607,0.6695652173913044,0.6693401937046004
cancer_status,19.0,masking,unfreeze_last_2,0.6686601921193998,0.6695652173913044,0.6675289105295192
cancer_status,20.0,jigsaw,bin_512_unfreeze_last_2,0.6609722619952799,0.6608695652173913,0.660458778105837
cancer_status,21.0,jigsaw,bin_2048_frozen,0.6522791235960967,0.6521739130434783,0.6521476104053237
cancer_status,22.0,jigsaw,bin_1024_unfreeze_last_1,0.6512212548625261,0.6521739130434783,0.6500304321363359
cancer_status,22.0,masking,unfreeze_last_1,0.6512212548625261,0.6521739130434783,0.6500304321363359
cancer_status,24.0,jigsaw,bin_1024_frozen,0.6428281186509549,0.6434782608695652,0.6417445482866043
cancer_status,25.0,jigsaw,bin_2048_unfreeze_last_3,0.6416941654277115,0.6434782608695652,0.6425051179012814
cancer_status,26.0,jigsaw,bin_256_frozen,0.6154642458990285,0.6173913043478261,0.6138583638583639
cancer_status,27.0,masking,frozen,0.597985347985348,0.6,0.5963064713064713
diabetes_status,1.0,classical,logistic_regression,0.7812127114334432,0.782608695652174,0.7802155798486354
diabetes_status,2.0,masking,unfreeze_last_3,0.7217391304347827,0.7217391304347827,0.7212121212121212
diabetes_status,3.0,jigsaw,multibin_frozen,0.6692141178955148,0.6695652173913044,0.6683363691560413
diabetes_status,4.0,classical,svm_rbf,0.6595776397515527,0.6608695652173913,0.6582857142857143
diabetes_status,5.0,jigsaw,multibin_unfreeze_last_1,0.6428281186509549,0.6434782608695652,0.6417445482866043
diabetes_status,6.0,jigsaw,multibin_unfreeze_last_2,0.634948415622697,0.6347826086956522,0.6345338983050848
diabetes_status,7.0,classical,xgboost,0.6343945513582007,0.6347826086956522,0.6334244080145719
diabetes_status,8.0,jigsaw,bin_2048_unfreeze_last_2,0.6242158320339414,0.6260869565217392,0.6250663431647585
diabetes_status,9.0,masking,unfreeze_last_2,0.6172177069360056,0.6173913043478261,0.617362371445856
diabetes_status,10.0,jigsaw,bin_2048_unfreeze_last_3,0.6086956521739131,0.6086956521739131,0.6086956521739131
diabetes_status,11.0,jigsaw,bin_2048_unfreeze_last_1,0.6001209921355112,0.6,0.5999697519661222
diabetes_status,12.0,masking,unfreeze_last_1,0.5998185117967333,0.6,0.5999697519661222
diabetes_status,13.0,jigsaw,bin_1024_unfreeze_last_1,0.591489823502136,0.591304347826087,0.5911806973753877
diabetes_status,14.0,jigsaw,bin_2048_frozen,0.591304347826087,0.591304347826087,0.591304347826087
diabetes_status,14.0,masking,frozen,0.591304347826087,0.591304347826087,0.591304347826087
diabetes_status,16.0,jigsaw,multibin_unfreeze_last_3,0.5810276679841897,0.5826086956521739,0.5818181818181818
diabetes_status,17.0,jigsaw,bin_1024_frozen,0.5731360442413852,0.5739130434782609,0.5718410455132589
diabetes_status,18.0,jigsaw,bin_512_frozen,0.5650201215181883,0.5652173913043478,0.5651845130066546
diabetes_status,19.0,jigsaw,bin_512_unfreeze_last_1,0.5567229999704029,0.5565217391304348,0.5563875652371227
diabetes_status,20.0,jigsaw,bin_1024_unfreeze_last_3,0.5434914922331896,0.5478260869565217,0.5450395617772368
diabetes_status,21.0,jigsaw,bin_1024_unfreeze_last_2,0.5319431103193147,0.5391304347826087,0.5340570292791071
diabetes_status,22.0,jigsaw,bin_512_unfreeze_last_2,0.5305768168547305,0.5304347826086957,0.5303992740471869
diabetes_status,23.0,jigsaw,bin_512_unfreeze_last_3,0.5297213240029767,0.5391304347826087,0.5321974057870904
diabetes_status,24.0,jigsaw,bin_256_unfreeze_last_3,0.5099390195612576,0.5130434782608696,0.5112325440194293
diabetes_status,25.0,jigsaw,bin_256_unfreeze_last_1,0.5043478260869565,0.5043478260869565,0.5043478260869565
diabetes_status,26.0,jigsaw,bin_256_frozen,0.4958811453837245,0.4956521739130435,0.4953087167070218
diabetes_status,27.0,jigsaw,bin_256_unfreeze_last_2,0.4924368416884454,0.4956521739130435,0.4937765634486946
combined_status,1.0,classical,logistic_regression,0.577736020476802,0.5739130434782609,0.5316204540888085
combined_status,2.0,classical,xgboost,0.5484900531100909,0.5652173913043478,0.5030538302277433
combined_status,3.0,masking,unfreeze_last_3,0.5249260274431898,0.5739130434782609,0.452549643339117
combined_status,4.0,jigsaw,multibin_frozen,0.4996611063419123,0.5217391304347826,0.4421376951864756
combined_status,5.0,classical,svm_rbf,0.4868215074360816,0.4782608695652174,0.4795816862773103
combined_status,6.0,jigsaw,multibin_unfreeze_last_1,0.4822386603515867,0.4956521739130435,0.4349347205222358
combined_status,7.0,masking,unfreeze_last_2,0.4655092048570309,0.5043478260869565,0.4090934684684684
combined_status,8.0,masking,unfreeze_last_1,0.4643459821095232,0.5043478260869565,0.4070419485387452
combined_status,9.0,jigsaw,multibin_unfreeze_last_3,0.4636520993042732,0.4695652173913043,0.4173691548691548
combined_status,10.0,jigsaw,bin_2048_unfreeze_last_1,0.4469807484614538,0.4608695652173913,0.4067997059462923
combined_status,11.0,jigsaw,bin_512_unfreeze_last_2,0.4467591670849788,0.4608695652173913,0.4031965502851579
combined_status,12.0,jigsaw,bin_2048_frozen,0.4463509743255713,0.4608695652173913,0.4065886392009987
combined_status,13.0,masking,frozen,0.4456161059741623,0.4869565217391304,0.3881804470039763
combined_status,14.0,jigsaw,bin_512_unfreeze_last_3,0.4447808346354596,0.4347826086956521,0.4093616231235866
combined_status,15.0,jigsaw,multibin_unfreeze_last_2,0.4408595120339417,0.4521739130434782,0.3879860942679279
