label_column,rank,approach,model_display,balanced_accuracy,accuracy,macro_f1
cancer_status,1.0,classical,logistic_regression,0.8515151515151516,0.8521739130434782,0.8517704147395557
cancer_status,2.0,classical,xgboost,0.8265151515151514,0.8260869565217391,0.8259685230024213
cancer_status,3.0,classical,svm_rbf,0.7477272727272728,0.7478260869565218,0.747520629873571
cancer_status,4.0,jigsaw,bin_512_frozen,0.7121212121212122,0.7130434782608696,0.7122602168473728
cancer_status,4.0,jigsaw,bin_512_unfreeze_last_1,0.7121212121212122,0.7130434782608696,0.7122602168473728
cancer_status,4.0,masking,unfreeze_last_3,0.7121212121212122,0.7130434782608696,0.7122602168473728
cancer_status,7.0,jigsaw,multibin_unfreeze_last_2,0.706060606060606,0.7043478260869566,0.7043254688445251
cancer_status,8.0,jigsaw,multibin_frozen,0.7053030303030303,0.7043478260869566,0.7043254688445251
cancer_status,9.0,jigsaw,multibin_unfreeze_last_1,0.6962121212121213,0.6956521739130435,0.6955600937901822
cancer_status,10.0,jigsaw,bin_256_unfreeze_last_2,0.6871212121212121,0.6869565217391305,0.6867433414043584
cancer_status,11.0,jigsaw,bin_256_unfreeze_last_1,0.6848484848484848,0.6869565217391305,0.6850273889227023
cancer_status,12.0,jigsaw,bin_2048_unfreeze_last_2,0.6803030303030303,0.6782608695652174,0.6781635277210498
cancer_status,12.0,jigsaw,bin_512_unfreeze_last_3,0.6803030303030303,0.6782608695652174,0.6781635277210498
cancer_status,14.0,jigsaw,bin_1024_unfreeze_last_3,0.6795454545454546,0.6782608695652174,0.6782608695652174
cancer_status,15.0,jigsaw,bin_1024_unfreeze_last_2,0.6765151515151515,0.6782608695652174,0.676696299673277
cancer_status,16.0,jigsaw,bin_256_unfreeze_last_3,0.671969696969697,0.6695652173913044,0.6693401937046004
cancer_status,17.0,jigsaw,bin_2048_unfreeze_last_1,0.6712121212121211,0.6695652173913044,0.6695402298850575
cancer_status,17.0,jigsaw,multibin_unfreeze_last_3,0.6712121212121211,0.6695652173913044,0.6695402298850575
cancer_status,19.0,masking,unfreeze_last_2,0.6674242424242425,0.6695652173913044,0.6675289105295192
cancer_status,20.0,jigsaw,bin_512_unfreeze_last_2,0.6606060606060606,0.6608695652173913,0.660458778105837
cancer_status,21.0,jigsaw,bin_2048_frozen,0.6530303030303031,0.6521739130434783,0.6521476104053237
cancer_status,22.0,jigsaw,bin_1024_unfreeze_last_1,0.6499999999999999,0.6521739130434783,0.6500304321363359
cancer_status,22.0,masking,unfreeze_last_1,0.6499999999999999,0.6521739130434783,0.6500304321363359
cancer_status,24.0,jigsaw,bin_2048_unfreeze_last_3,0.646969696969697,0.6434782608695652,0.6425051179012814
cancer_status,25.0,jigsaw,bin_1024_frozen,0.6416666666666666,0.6434782608695652,0.6417445482866043
cancer_status,26.0,jigsaw,bin_256_frozen,0.6143939393939394,0.6173913043478261,0.6138583638583639
cancer_status,27.0,masking,frozen,0.5969696969696969,0.6,0.5963064713064713
diabetes_status,1.0,classical,logistic_regression,0.7795454545454545,0.782608695652174,0.7802155798486354
diabetes_status,2.0,masking,unfreeze_last_3,0.7212121212121212,0.7217391304347827,0.7212121212121212
diabetes_status,3.0,jigsaw,multibin_frozen,0.6681818181818182,0.6695652173913044,0.6683363691560413
diabetes_status,4.0,classical,svm_rbf,0.6583333333333333,0.6608695652173913,0.6582857142857143
diabetes_status,5.0,jigsaw,multibin_unfreeze_last_1,0.6416666666666666,0.6434782608695652,0.6417445482866043
diabetes_status,6.0,jigsaw,multibin_unfreeze_last_2,0.6348484848484848,0.6347826086956522,0.6345338983050848
diabetes_status,7.0,classical,xgboost,0.6333333333333333,0.6347826086956522,0.6334244080145719
diabetes_status,8.0,jigsaw,bin_2048_unfreeze_last_2,0.6295454545454546,0.6260869565217392,0.6250663431647585
diabetes_status,9.0,masking,unfreeze_last_2,0.6189393939393939,0.6173913043478261,0.617362371445856
diabetes_status,10.0,jigsaw,bin_2048_unfreeze_last_3,0.6098484848484849,0.6086956521739131,0.6086956521739131
diabetes_status,11.0,masking,unfreeze_last_1,0.6015151515151516,0.6,0.5999697519661222
diabetes_status,12.0,jigsaw,bin_2048_unfreeze_last_1,0.6007575757575758,0.6,0.5999697519661222
diabetes_status,13.0,jigsaw,bin_2048_frozen,0.5924242424242424,0.591304347826087,0.591304347826087
diabetes_status,13.0,masking,frozen,0.5924242424242424,0.591304347826087,0.591304347826087
diabetes_status,15.0,jigsaw,bin_1024_unfreeze_last_1,0.5916666666666667,0.591304347826087,0.5911806973753877
diabetes_status,16.0,jigsaw,multibin_unfreeze_last_3,0.5856060606060607,0.5826086956521739,0.5818181818181818
diabetes_status,17.0,jigsaw,bin_1024_frozen,0.571969696969697,0.5739130434782609,0.5718410455132589
